epoch,train_loss,train_acc,val_loss,val_acc
1,0.5594808064301808,0.7997777777777778,0.35695004669825237,0.8641666666666666
2,0.3488567906220754,0.8740370370370371,0.296211456378301,0.888
3,0.2941712589175613,0.8927777777777778,0.26428369418780007,0.8976666666666666
4,0.25895719063723527,0.905074074074074,0.28062172079086306,0.8975
5,0.236170418938001,0.9149259259259259,0.23711418382326763,0.91
6,0.21189808029157145,0.9226851851851852,0.23261483295758564,0.916
7,0.19636525618146966,0.9283333333333333,0.226792590936025,0.9118333333333334
8,0.17820537500911288,0.9347037037037037,0.23721022140979767,0.915
9,0.1685002670508844,0.9377222222222222,0.24288244946797688,0.9138333333333334
10,0.15288710737449152,0.9433888888888889,0.23148720661799113,0.9193333333333333
11,0.14141095375573193,0.9471666666666667,0.24631852825482686,0.9188333333333333
12,0.1318271709183852,0.9505370370370371,0.25441592315832773,0.9223333333333333
13,0.12127025515724112,0.9540185185185185,0.2567791483402252,0.9208333333333333
14,0.11129581223924954,0.9582592592592593,0.25200041230519615,0.9255
15,0.10052730956784,0.9619814814814814,0.26656836330890654,0.9261666666666667
16,0.09636905996611825,0.9637777777777777,0.27590523823102314,0.9216666666666666
17,0.0903646018874866,0.9655925925925926,0.2811580132643382,0.9233333333333333
18,0.08616863061818812,0.965925925925926,0.3020152587095896,0.92
19,0.08263551063614863,0.969,0.3005919927954674,0.92
20,0.07449942466395873,0.9713333333333334,0.3252705491185188,0.92
21,0.07341519392350758,0.9720185185185185,0.35451303525765737,0.9166666666666666
22,0.07101686084160098,0.9727592592592592,0.3436174476146698,0.9231666666666667
23,0.06350412037140793,0.9759814814814814,0.34089287384351097,0.9235
24,0.06555518788485615,0.9751296296296297,0.33932957937320074,0.922
25,0.0601990445981975,0.977925925925926,0.36205187396208444,0.9185
26,0.054135197201674735,0.9794444444444445,0.39211868187288446,0.9218333333333333
27,0.0559268219929223,0.9784444444444444,0.39527894401550295,0.9226666666666666
28,0.05454807121289411,0.9794444444444445,0.3881467483441035,0.9238333333333333
29,0.052912297995243635,0.9799444444444444,0.4097587167620659,0.9176666666666666
30,0.0486820282494839,0.9816296296296296,0.3965998706420263,0.9201666666666667
31,0.049508530315253194,0.9817037037037037,0.40472807494799296,0.9243333333333333
32,0.04599228753173655,0.9830185185185185,0.42608529787758986,0.9195
33,0.049779653496557365,0.9822407407407407,0.4522909579773744,0.9211666666666667
34,0.04368175860749626,0.9844814814814815,0.48452634503444036,0.9186666666666666
35,0.04566646339633951,0.9821296296296296,0.43884574302037554,0.9175
36,0.041610659382875184,0.9847777777777778,0.4711235256989797,0.9186666666666666
37,0.04157630785466689,0.9845925925925926,0.5187008682290714,0.9195
38,0.04248523033244742,0.9842407407407407,0.5102712007462978,0.9193333333333333
39,0.03668817133163275,0.986462962962963,0.4880580257773399,0.9231666666666667
40,0.040322166157368985,0.9856296296296296,0.5105856425364812,0.9225
41,0.0378578758164378,0.9864444444444445,0.5166548827588558,0.921
42,0.03748759130181538,0.9861481481481481,0.4841136623620987,0.92
43,0.03414280360861233,0.9876296296296296,0.5359542001585166,0.9206666666666666
44,0.03945460451539192,0.9863518518518518,0.5316018345355987,0.9216666666666666
45,0.03663480173791241,0.9866111111111111,0.5411475998560588,0.9216666666666666
46,0.03710845226907447,0.9866666666666667,0.5923399735689163,0.9135
47,0.03407970141154645,0.9878148148148148,0.5821518097718557,0.9215
48,0.03416139864372262,0.9878148148148148,0.5494562304715316,0.9203333333333333
49,0.03341234080390832,0.9881666666666666,0.5921667289733886,0.9228333333333333
50,0.03631443295525646,0.9877407407407407,0.568458223387599,0.917
